Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
02/01/2018 16:00:00,111.8,02/01/2018 16:00:00,63.49,02/01/2018 16:00:00,57.63,02/01/2018 16:00:00,173.22,02/01/2018 16:00:00,45.54
03/01/2018 16:00:00,112.28,03/01/2018 16:00:00,63.48,03/01/2018 16:00:00,58.71,03/01/2018 16:00:00,172.49,03/01/2018 16:00:00,45.44
04/01/2018 16:00:00,112.23,04/01/2018 16:00:00,63.44,04/01/2018 16:00:00,58.93,04/01/2018 16:00:00,173.7,04/01/2018 16:00:00,46.08
05/01/2018 16:00:00,111.62,05/01/2018 16:00:00,63.98,05/01/2018 16:00:00,59.61,05/01/2018 16:00:00,174.05,05/01/2018 16:00:00,46.07
08/01/2018 16:00:00,110.02,08/01/2018 16:00:00,64.55,08/01/2018 16:00:00,59.31,08/01/2018 16:00:00,173.93,08/01/2018 16:00:00,46
09/01/2018 16:00:00,109.94,09/01/2018 16:00:00,64.09,09/01/2018 16:00:00,59.18,09/01/2018 16:00:00,173.54,09/01/2018 16:00:00,46.23
10/01/2018 16:00:00,109.47,10/01/2018 16:00:00,64.22,10/01/2018 16:00:00,59.82,10/01/2018 16:00:00,173.51,10/01/2018 16:00:00,46.07
11/01/2018 16:00:00,110.99,11/01/2018 16:00:00,64.29,11/01/2018 16:00:00,60,11/01/2018 16:00:00,173.39,11/01/2018 16:00:00,46.04
12/01/2018 16:00:00,112.47,12/01/2018 16:00:00,64.67,12/01/2018 16:00:00,60.4,12/01/2018 16:00:00,173.57,12/01/2018 16:00:00,46.15
16/01/2018 16:00:00,110.69,16/01/2018 16:00:00,63.42,16/01/2018 16:00:00,60.56,16/01/2018 16:00:00,173.68,16/01/2018 16:00:00,46.53
17/01/2018 16:00:00,111.97,17/01/2018 16:00:00,63.81,17/01/2018 16:00:00,60.66,17/01/2018 16:00:00,174.98,17/01/2018 16:00:00,46.82
18/01/2018 16:00:00,110.42,18/01/2018 16:00:00,64.11,18/01/2018 16:00:00,61.09,18/01/2018 16:00:00,174.57,18/01/2018 16:00:00,46.88
19/01/2018 16:00:00,110.59,19/01/2018 16:00:00,67.21,19/01/2018 16:00:00,61.26,19/01/2018 16:00:00,176.12,19/01/2018 16:00:00,47.16
22/01/2018 16:00:00,111.1,22/01/2018 16:00:00,66.39,22/01/2018 16:00:00,61.41,22/01/2018 16:00:00,176.21,22/01/2018 16:00:00,47.38
23/01/2018 16:00:00,110.41,23/01/2018 16:00:00,67.14,23/01/2018 16:00:00,61.69,23/01/2018 16:00:00,176.81,23/01/2018 16:00:00,47.45
24/01/2018 16:00:00,110.5,24/01/2018 16:00:00,68,24/01/2018 16:00:00,60.83,24/01/2018 16:00:00,176.12,24/01/2018 16:00:00,47.83
25/01/2018 16:00:00,110.55,25/01/2018 16:00:00,67.71,25/01/2018 16:00:00,60.55,25/01/2018 16:00:00,175.66,25/01/2018 16:00:00,47.84
26/01/2018 16:00:00,112.19,26/01/2018 16:00:00,68.04,26/01/2018 16:00:00,57.99,26/01/2018 16:00:00,178.36,26/01/2018 16:00:00,48.53
